id,name,active,customer_rank,supplier_rank,parent_id,parent_name,company_id,is_company,email,vat,user_logins,action,reason
1,"Hellenia, S.R.L.",True,0,0,,,,True,info@helleniadr.com,133621282,,preserve,"res.company:Hellenia, S.R.L."
2,OdooBot,False,0,0,,,1,False,odoobot@example.com,,__system__,preserve,res.users(system):__system__
3,Administrator,True,0,0,,,1,False,,,admin,preserve,system:base.partner_admin
4,Public user,False,0,0,,,,False,,,public,preserve,res.users(system):public
5,Portal User Template,False,0,0,,,,False,,,portaltemplate,preserve,res.users(system):portaltemplate
6,JustechIT,True,0,0,,,,False,it@justech.do,,it@justech.do,preserve,res.users(active):it@justech.do
26,Demo 15 normal,True,0,0,,,,False,usuario.normal.demo14@hellenia.local,,usuario.normal.demo14,delete,test_user_partner:usuario.normal.demo14
27,Demo 15 accounting,True,0,0,,,,False,usuario.contabilidad.demo15@hellenia.local,,usuario.contabilidad.demo15,delete,test_user_partner:usuario.contabilidad.demo15
28,Demo 15 sales,True,0,0,,,,False,usuario.ventas.demo15@hellenia.local,,usuario.ventas.demo15,delete,test_user_partner:usuario.ventas.demo15
29,Demo 15 purchase,True,0,0,,,,False,usuario.compras.demo15@hellenia.local,,usuario.compras.demo15,delete,test_user_partner:usuario.compras.demo15
30,Demo 15 inventory,True,0,0,,,,False,usuario.inventario.demo15@hellenia.local,,usuario.inventario.demo15,delete,test_user_partner:usuario.inventario.demo15
